"Nom","Image","Canton","Etat","Profession","Domicile","Age","Parti","Conseil"
"Mathias Zopfi","https://164.ch/grafiken_wahlen2023/Parlament/GL_SR_Gruene_Zopfi_Mathias.jpg","Glaris","sortant","-","-",40,"Vert-e-s","Conseil des Etats"
"Markus Schnyder","https://164.ch/grafiken_wahlen2023/Parlament/GL_NR_SVP_Schnyder_Markus.jpg","Glaris","nouveau","Immobilienbewerter","Glaris",35,"UDC","Conseil national "
"Martin Schmid","https://164.ch/grafiken_wahlen2023/Parlament/GR_NR_FDP_Schmid_Martin.jpg","Grisons","sortant","-","Chur",54,"PLR","Conseil des Etats"
"Stefan Engler","https://164.ch/grafiken_wahlen2023/Parlament/GR_SR_Mitte_Engler_Stefan.jpg","Grisons","sortant","-","Chur",63,"Centre","Conseil des Etats"
"Jon Pult","https://164.ch/grafiken_wahlen2023/Parlament/GR_NR_SP_Pult_Jon.jpg","Grisons","sortant","Nationalrat und Strategieberater","Coire",39,"PS","Conseil national "
"Roman Hug","https://164.ch/grafiken_wahlen2023/Parlament/GR_NR_SVP_Hug_Roman.jpg","Grisons","nouveau","Architekt, Gemeindepräsident","Says",43,"UDC","Conseil national "
"Magdalena Martullo-Blocher","https://164.ch/grafiken_wahlen2023/Parlament/GR_NR_SVP_Martullo-Blocher_Magdalena.jpg","Grisons","sortante","Unternehmerin EMS-Chemie","Meilen",54,"UDC","Conseil national "
"Anna Giacometti","https://164.ch/grafiken_wahlen2023/Parlament/GR_NR_FDP_Giacometti_Anna.jpg","Grisons","sortante","Nationalrätin","Stampa",62,"PLR","Conseil national "
"Martin Candinas","https://164.ch/grafiken_wahlen2023/Parlament/GR_NR_Mitte_Candinas_Martin.jpg","Grisons","sortant","Sozialversicherungsfachmann mit eidg. Fachausweis","Coire",43,"Centre","Conseil national "
"Damian Müller","https://164.ch/grafiken_wahlen2023/Parlament/LU_SR_FDP_Mueller_Damian.jpg","Lucerne","sortant","-","Hitzkirch",39,"PLR","Conseil des Etats"
"Andrea Gmür-Schönenberger","https://164.ch/grafiken_wahlen2023/Parlament/LU_SR_Mitte_Gmuer-Schoenenberger_Andrea.jpg","Lucerne","sortante","dipl. Gymnasiallehrerin, lic. phil. I","Luzern",59,"Centre","Conseil des Etats"
"Hans Wicki","https://164.ch/grafiken_wahlen2023/Parlament/NW_SR_FDP_Wicki_Hans.jpg","Nidwald","sortant","-","Hergiswil",60,"PLR","Conseil des Etats"
"Regina Durrer-Knobel","https://164.ch/grafiken_wahlen2023/Parlament/NW_NR_Mitte_Durrer-Knobel_Regina.jpg","Nidwald","nouvelle","Wirtschaftslehrerin/Schulleiterin","Ennetmoos",52,"Centre","Conseil national "
"Erich Ettlin","https://164.ch/grafiken_wahlen2023/Parlament/OW_SR_Mitte_Ettlin_Erich.jpg","Obwald","sortant","-","Kerns",61,"Centre","Conseil des Etats"
"Monika Rüegger","https://164.ch/grafiken_wahlen2023/Parlament/OW_NR_SVP_Rueegger_Monika.jpg","Obwald","sortante","Metallbauplanerin","Engelberg",55,"UDC","Conseil national "
"Hannes Germann","https://164.ch/grafiken_wahlen2023/Parlament/SH_SR_SVP_Germann_Hannes.jpg","Schaffhouse","sortant","-","Opfertshofen",67,"UDC","Conseil des Etats"
"Pirmin Bischof","https://164.ch/grafiken_wahlen2023/Parlament/SO_SR_MITTE_Bischof_Pirmin.jpg","Soleure","sortant","-","-",65,"Centre","Conseil des Etats"
"Franziska Roth","https://164.ch/grafiken_wahlen2023/Parlament/SO_NR_SP_Roth_Franziska.jpg","Soleure","sortante","Heilpädagogin und Nationalrätin","Soleure",57,"PS","Conseil national "
"Christian Imark","https://164.ch/grafiken_wahlen2023/Parlament/SO_NR_SVP_Imark_Christian.jpg","Soleure","sortant","Unternehmer","Fehren",42,"UDC","Conseil national "
"Rémy Wyssmann","https://164.ch/grafiken_wahlen2023/Parlament/SO_NR_SVP_Wyssmann_Remy.jpg","Soleure","nouveau","Selbständiger Rechtsanwalt und Notar","Kriegstetten",56,"UDC","Conseil national "
"Simon Michel","https://164.ch/grafiken_wahlen2023/Parlament/SO_NR_FDP_Michel_Simon.jpg","Soleure","nouveau","Geschäftsführer Ypsomed Gruppe","Soleure",47,"PLR","Conseil national "
"Stefan Müller-Altermatt","https://164.ch/grafiken_wahlen2023/Parlament/SO_NR_MITTE_Mueller-Altermatt_Stefan.jpg","Soleure","sortant","Biologe, Dr. phil., Gemeindepräsident, Nationalrat","Herbetswil",47,"Centre","Conseil national "
"Felix Wettstein","https://164.ch/grafiken_wahlen2023/Parlament/SO_NR_Gruene_Wettstein_Felix.jpg","Soleure","sortant","Nationalrat","Olten",66,"Vert-e-s","Conseil national "
"Josef Dittli","https://164.ch/grafiken_wahlen2023/Parlament/UR_SR_FDP_Dittli_Josef.jpg","Uri","sortant","-","Attinghausen",66,"PLR","Conseil des Etats"
"Heidi Z'graggen","https://164.ch/grafiken_wahlen2023/Parlament/UR_SR_Mitte_Zgraggen_Heidi.jpg","Uri","sortante","-","Erstfeld",58,"Centre","Conseil des Etats"
"Simon Stadler","https://164.ch/grafiken_wahlen2023/Parlament/UR_NR_CVP-Mitte_Stadler_Simon.jpg","Uri","sortant","Maurer, Primarlehrer","Altdorf (UR)",35,"Centre","Conseil national "
"Matthias Michel","https://164.ch/grafiken_wahlen2023/Parlament/ZG_SR_FDP_Michel_Matthias.jpg","Zoug","sortant","-","-",61,"PLR","Conseil des Etats"
"Peter Hegglin","https://164.ch/grafiken_wahlen2023/Parlament/ZG_SR_Mitte_Hegglin_Peter.jpg","Zoug","sortant","-","Edlibach",63,"Centre","Conseil des Etats"
"Thomas Aeschi","https://164.ch/grafiken_wahlen2023/Parlament/ZG_NR_SVP_Aeschi_Thomas.jpg","Zoug","sortant","Harvard MPA, lic.oec.HSG, Unternehmensberater","Baar",45,"UDC","Conseil national "
"Gerhard Pfister","https://164.ch/grafiken_wahlen2023/Parlament/ZG_NR_Mitte_Pfister_Gerhard.jpg","Zoug","sortant","Dr. phil., Nationalrat, Präsident Die Mitte Schweiz","Oberägeri",61,"Centre","Conseil national "
"Manuela Weichelt","https://164.ch/grafiken_wahlen2023/Parlament/ZG_NR_ALG_Weichelt-Piccard_Manuela.jpg","Zoug","sortante","ehem. Regierungsrätin, MPH, Nationalrätin","Zoug",56,"Grün-Alternative","Conseil national "
