"Name","Bild","Kanton","Bisher/Neu","Beruf","Wohnort","Alter","Partei","Rat"
"Daniel Fässler","https://164.ch/grafiken_wahlen2023/Parlament/AI_SR_Mitte_Faessler_Daniel.jpg","Appenzell Innerrhoden","Bisher","-","Appenzell",63,"Mitte","Ständerat"
"Thomas Rechsteiner","https://164.ch/grafiken_wahlen2023/Parlament/AI_NR_Mitte_Rechsteiner_Thomas.jpg","Appenzell Innerrhoden","Bisher","selbstständig","Appenzell",52,"Mitte","Nationalrat"
"Andrea Caroni","https://164.ch/grafiken_wahlen2023/Parlament/AR_SR_FDP_Caroni_Andrea.jpg","Appenzell Ausserrhoden","Bisher","-","Herisau",43,"FDP","Ständerat"
"David Zuberbühler","https://164.ch/grafiken_wahlen2023/Parlament/AR_NR_SVP_Zuberbuehler_David.jpg","Appenzell Ausserrhoden","Bisher","Unternehmer","Herisau",45,"SVP","Nationalrat"
"Benjamin Mühlemann","https://164.ch/grafiken_wahlen2023/Parlament/GL_SR_FDP_Muehlemann_Benjamin.jpg","Glarus","Neu","-","-",45,"FDP","Ständerat"
"Mathias Zopfi","https://164.ch/grafiken_wahlen2023/Parlament/GL_SR_Gruene_Zopfi_Mathias.jpg","Glarus","Bisher","-","-",40,"Grüne","Ständerat"
"Markus Schnyder","https://164.ch/grafiken_wahlen2023/Parlament/GL_NR_SVP_Schnyder_Markus.jpg","Glarus","Neu","Immobilienbewerter","Glarus",35,"SVP","Nationalrat"
"Martin Schmid","https://164.ch/grafiken_wahlen2023/Parlament/GR_NR_FDP_Schmid_Martin.jpg","Graubünden","Bisher","-","Chur",54,"FDP","Ständerat"
"Stefan Engler","https://164.ch/grafiken_wahlen2023/Parlament/GR_SR_Mitte_Engler_Stefan.jpg","Graubünden","Bisher","-","Chur",63,"Mitte","Ständerat"
"Damian Müller","https://164.ch/grafiken_wahlen2023/Parlament/LU_SR_FDP_Mueller_Damian.jpg","Luzern","Bisher","-","Hitzkirch",39,"FDP","Ständerat"
"Andrea Gmür-Schönenberger","https://164.ch/grafiken_wahlen2023/Parlament/LU_SR_Mitte_Gmuer-Schoenenberger_Andrea.jpg","Luzern","Bisher","dipl. Gymnasiallehrerin, lic. phil. I","Luzern",59,"Mitte","Ständerat"
"Hans Wicki","https://164.ch/grafiken_wahlen2023/Parlament/NW_SR_FDP_Wicki_Hans.jpg","Nidwalden","Bisher","-","Hergiswil",60,"FDP","Ständerat"
"Regina Durrer-Knobel","https://164.ch/grafiken_wahlen2023/Parlament/NW_NR_Mitte_Durrer-Knobel_Regina.jpg","Nidwalden","Neu","Wirtschaftslehrerin/Schulleiterin","Ennetmoos",52,"Mitte","Nationalrat"
"Erich Ettlin","https://164.ch/grafiken_wahlen2023/Parlament/OW_SR_Mitte_Ettlin_Erich.jpg","Obwalden","Bisher","-","Kerns",61,"Mitte","Ständerat"
"Monika Rüegger","https://164.ch/grafiken_wahlen2023/Parlament/OW_NR_SVP_Rueegger_Monika.jpg","Obwalden","Bisher","Metallbauplanerin","Engelberg",55,"SVP","Nationalrat"
"Pirmin Bischof","https://164.ch/grafiken_wahlen2023/Parlament/SO_SR_MITTE_Bischof_Pirmin.jpg","Solothurn","Bisher","-","-",65,"Mitte","Ständerat"
"Josef Dittli","https://164.ch/grafiken_wahlen2023/Parlament/UR_SR_FDP_Dittli_Josef.jpg","Uri","Bisher","-","Attinghausen",66,"FDP","Ständerat"
"Heidi Z'graggen","https://164.ch/grafiken_wahlen2023/Parlament/UR_SR_Mitte_Z'graggen_Heidi.jpg","Uri","Bisher","-","Erstfeld",58,"Mitte","Ständerat"
"Simon Stadler","https://164.ch/grafiken_wahlen2023/Parlament/UR_NR_CVP-Mitte_Stadler_Simon.jpg","Uri","Bisher","Maurer, Primarlehrer","Altdorf UR",35,"Mitte","Nationalrat"
"Matthias Michel","https://164.ch/grafiken_wahlen2023/Parlament/ZG_SR_FDP_Michel_Matthias.jpg","Zug","Bisher","-","-",61,"FDP","Ständerat"
"Peter Hegglin","https://164.ch/grafiken_wahlen2023/Parlament/ZG_SR_Mitte_Hegglin_Peter.jpg","Zug","Bisher","-","Edlibach",63,"Mitte","Ständerat"
