"Name","Bild","Kanton","Bisher/Neu","Beruf","Wohnort","Alter","Partei","Rat"
"Cloé Pointet","https://164.ch/grafiken_wahlen2023/Nationalrat/VD_NR_JGLP_Pointet_Cloe.jpg","Waadt","Neu","Développeuse logicielle","Cheseaux-sur-Lausanne",25,"GLP","Nationalrat"
"Gregor Szöllösy","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_Gruene_Szoelloesy_Gregor.jpg","Zürich","Neu","selbständiger Facharzt für Orthopädie und Chirurgie","Zürich",53,"Grüne","Nationalrat"
"Alessio Palermo","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_MITTE_Palermo_Alessio.jpg","Solothurn","Neu","Wirtschaftsprüfer","Bettlach",27,"Mitte","Nationalrat"
"Oskar Seger","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_FDP_Seger_Oskar.jpg","St. Gallen","Neu","Dipl. Bauingenieur FH, Feuerwehroffizier, Kantonsrat, Unternehmer","St.Gallen",34,"FDP","Nationalrat"
"Luca Kronig","https://164.ch/grafiken_wahlen2023/Nationalrat/VS_NR_JMitte_Kronig_Luca.jpg","Wallis","Neu","Informatiker EFZ","Zermatt",22,"Mitte","Nationalrat"
"Ziporah Blaser","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JEVP_Blaser_Ziporah.jpg","Bern","Neu","Fachfrau Betreuung Kind","Münchenbuchsee",21,"EVP","Nationalrat"
"Laurie Willommet","https://164.ch/grafiken_wahlen2023/Nationalrat/VD_NR_SP_Willommet_Laurie.jpg","Waadt","Neu","enseignante, Municipale","Vevey",32,"SP","Nationalrat"
"Sarah Wiederkehr","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Wiederkehr_Sarah.jpg","Aargau","Neu","Ökonomin, Vizepräsidentin Einwohnerrat","Baden",37,"Mitte","Nationalrat"
"Simon Knoerzer","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_JF_Knoerzer_Simon.jpg","Zürich","Neu","MSc, Vermögensverwalter","Zürich",30,"FDP","Nationalrat"
"Laura Spring","https://164.ch/grafiken_wahlen2023/Nationalrat/LU_NR_Gruene_Spring_Laura.jpg","Luzern","Neu","Agraringenieurin ETH, Geschäftsführerin","Luzern",39,"Grüne","Nationalrat"
"Brigitte Capra","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_Mitte_Capra_Brigitte.jpg","Bern","Neu","Fachfrau Gesundheit","Bern",56,"Mitte","Nationalrat"
"Ruth Keller-Gätzi","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_FDP_Keller_Ruth.jpg","St. Gallen","Neu","FDP Kantonsrätin, Leiterin Haushilfe- und Entlastungsdienst Stadt St.Gallen, Mediatorin","Wittenbach",57,"FDP","Nationalrat"
"Dominic Vogel","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_Mitte_Vogel_Dominic.jpg","Aargau","Neu","Jurist, MLaw","Rheinfelden",33,"Mitte","Nationalrat"
"Katja Streiff","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_EVP_Streiff_Katja.jpg","Bern","Neu","Dipl. Pflegefachfrau, Grossrätin","Oberwangen b. Bern",38,"EVP","Nationalrat"
"Antoine Chaix","https://164.ch/grafiken_wahlen2023/Nationalrat/SZ_NR_SP_Chaix_Antoine.jpg","Schwyz","Neu","Dr. med., Hausarzt","Einsiedeln",59,"SP","Nationalrat"
"Daria Moulin","https://164.ch/grafiken_wahlen2023/Nationalrat/VS_NR_Gruene_Moulin_Daria.jpg","Wallis","Neu","Physiothérapeute","Sierre",43,"Grüne","Nationalrat"
"Stephanie Fassbind-Lippuner","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_FDP_Fassbind_Stephanie.jpg","St. Gallen","Neu","Betriebsökonomin FH, Trust Officer","Grabs",29,"FDP","Nationalrat"
"Martin Zimmermann","https://164.ch/grafiken_wahlen2023/Nationalrat/ZG_NR_GLP_Zimmermann_Martin.jpg","Zug","Neu","Geschäftsführer Informatikberatung","Baar",46,"GLP","Nationalrat"
"Pia Voss","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_JUSO_Voss_Pia.jpg","Zürich","Neu","Studentin Komposition","Winterthur",21,"SP","Nationalrat"
"Beda Küttel","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_JUSO_Kuettel_Beda.jpg","Solothurn","Neu","Schüler","Starrkirch-Wil",19,"SP","Nationalrat"
"Sandro Mihai Pfeffer","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_engagiert._Pfeffer_Sandro-Mihai.jpg","Aargau","Neu","Assistent Gesundheit und Soziales","Hornussen",26,"weitere","Nationalrat"
"Vladlena Wächter","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_JMitte_Waechter_Vladlena.jpg","Solothurn","Neu","Sachbearbeiterin + Studentin","Egerkingen",24,"Mitte","Nationalrat"
"Benjamin Aebi","https://164.ch/grafiken_wahlen2023/Nationalrat/GE_NR_JMITTE_Aebi_Benjamin.jpg","Genf","Neu","Business Developer dans le vin","Thônex",27,"Mitte","Nationalrat"
"Manuela Schertenleib","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JEDU_Schertenleib_Manuela.jpg","Bern","Neu","Bäuerin, Familienfrau","Worb",32,"EDU","Nationalrat"
"Lutz Fischer-Lamprecht","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_EVP_Fischer-Lamprecht_Lutz.jpg","Aargau","Neu","Grossrat, Pfarrer","Wettingen",56,"EVP","Nationalrat"
"Jascha Müller","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_EVP_Mueller_Jascha.jpg","St. Gallen","Neu","Kommandant Milizfeuerwehr","St.Gallen",58,"EVP","Nationalrat"
