"Name","Bild","Kanton","Bisher/Neu","Beruf","Wohnort","Alter","Partei","Rat"
"Gjem Zekaj","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JMitte_Zekaj_Gjem.jpg","Bern","Neu","Assistenz-Apotheker","Gümligen",26,"Mitte","Nationalrat"
"Severin Heck","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_Libertaere-Partei_Heck_Severin.jpg","Zürich","Neu","BSc ZHAW, Senior Project Manager","Winterthur",38,"weitere","Nationalrat"
"Jennifer Girod","https://164.ch/grafiken_wahlen2023/Nationalrat/VD_NR_JGLP_Girod_Jennifer.jpg","Waadt","Neu","Economiste","Gland",31,"GLP","Nationalrat"
"Gaia Mombelli","https://164.ch/grafiken_wahlen2023/Nationalrat/TI_NR_JGruene_Mombelli_Gaia.jpg","Tessin","Neu","Studente","Morbio Inferiore",21,"Grüne","Nationalrat"
"Sandro Frei","https://164.ch/grafiken_wahlen2023/Nationalrat/ZH_NR_JF_Frei_Sandro.jpg","Zürich","Neu","Campaigner, Politikwissenschaften UZH","Uetikon am See",29,"FDP","Nationalrat"
"Claude Brodard","https://164.ch/grafiken_wahlen2023/Nationalrat/FR_NR_FDP_Brodard_Claude.jpg","Freiburg","Neu","député / Treuhandexperte, Expert-comptable diplômé, Grossrat","Le Mouret",47,"FDP","Nationalrat"
"Georg Schulthess","https://164.ch/grafiken_wahlen2023/Nationalrat/TG_NR_Aufrecht_Schulthess_Georg.jpg","Thurgau","Neu","Betriebsökonom HWV/FH, Unternehmer","Kreuzlingen",50,"weitere","Nationalrat"
"Amber-Louise Renold","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_JEVP_Renold_Amber-Louise.jpg","Aargau","Neu","Studentin Theologie und Religionswissenschaft","Oberrohrdorf",25,"EVP","Nationalrat"
"Edith Saladin","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_GLP_Saladin_Edith.jpg","Aargau","Neu","Einwohnerrätin, Gerontologische Fachfrau","Nussbaumen",58,"GLP","Nationalrat"
"Seraina Herzberg","https://164.ch/grafiken_wahlen2023/Nationalrat/AG_NR_EVP_Herzberg_Seraina.jpg","Aargau","Neu","Fachstellenleiterin, MLaw, Sozialarbeiterin FH","Muri",45,"EVP","Nationalrat"
"Mattéo Frison","https://164.ch/grafiken_wahlen2023/Nationalrat/GR_NR_JF_Frison_Matteo.jpg","Graubünden","Neu","Praktikant Investment Center","Chur",20,"FDP","Nationalrat"
"Severin Milles","https://164.ch/grafiken_wahlen2023/Nationalrat/SZ_NR_JGLP_Milles_Severin.jpg","Schwyz","Neu","Berater","Lachen",25,"GLP","Nationalrat"
"Astrick Reist","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_JMitte_Reist-Yenitzel_Astrick.jpg","Bern","Neu","Endokrinologie, MPA Diabetologie","Thun",27,"Mitte","Nationalrat"
"Marc Bachmann","https://164.ch/grafiken_wahlen2023/Nationalrat/FR_NR_EDU_Bachmann_Marc.jpg","Freiburg","Neu","Ingénieur / Ingenieur","Heitenried",48,"EDU","Nationalrat"
"Sidney Kamerzin","https://164.ch/grafiken_wahlen2023/Nationalrat/VS_NR_Mitte_Kamerzin_Sidney.jpg","Wallis","Bisher","Avocat-notaire","Sierre",48,"Mitte","Nationalrat"
"Magdalena Erni","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_Gruene_Erni_Magdalena.jpg","Bern","Neu","Co-Präsidentin Junge Grüne Schweiz, Studentin VWL","Thun",20,"Grüne","Nationalrat"
"Ivan Abramovic","https://164.ch/grafiken_wahlen2023/Nationalrat/ZG_NR_Mitte_Abramovic_Ivan.jpg","Zug","Neu","Doktorand, MSc Chemie ETH","Baar",31,"Mitte","Nationalrat"
"Flavio Schmid","https://164.ch/grafiken_wahlen2023/Nationalrat/VS_NR_Neo_Schmid_Flavio.jpg","Wallis","Neu","Betriebsökonom & Bankwirtschafter","Visp",39,"Mitte","Nationalrat"
"Marc-Olivier Buffat","https://164.ch/grafiken_wahlen2023/Nationalrat/VD_NR_FDP_Buffat_Marc-Olivier.jpg","Waadt","Neu","Avocat","Lausanne",62,"FDP","Nationalrat"
"Majlinda Sulejmani","https://164.ch/grafiken_wahlen2023/Nationalrat/SG_NR_Mitte_Sulejmani_Majlinda.jpg","St. Gallen","Neu","Abteilungsleiterin, Ortsparteipräsidentin, Vizepräsidentin Die Mitte Frauen Kanton St.Gallen","St.Margrethen",34,"Mitte","Nationalrat"
"Karin Kissling-Müller","https://164.ch/grafiken_wahlen2023/Nationalrat/SO_NR_MITTE_Kissling_Karin.jpg","Solothurn","Neu","Rechtsanwältin und Notarin","Wolfwil",49,"Mitte","Nationalrat"
"Rolf Frischknecht","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_GLP_Frischknecht_Rolf.jpg","Bern","Neu","Präs. DV Berner Tierschutzorganisationen, Tierarzt","Laupen",65,"GLP","Nationalrat"
"Luca Weidmann","https://164.ch/grafiken_wahlen2023/Nationalrat/BE_NR_GLP_Weidmann_Luca.jpg","Bern","Neu","Geschäftsführer KMU, Student BWL","Burgdorf",20,"GLP","Nationalrat"
"Thomas Meinrad Hänggi","https://164.ch/grafiken_wahlen2023/Nationalrat/SZ_NR_SVP_Haenggi_Thomas.jpg","Schwyz","Neu","Geschäftsführer","Schindellegi",55,"SVP","Nationalrat"
